As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
20/09/2020,7,9,7,The Social Dilemma,Movie,Yes,"Sep 9, 2020",10,45
26/09/2020,5,5,3,The Smurfs 2,Movie,,"Sep 15, 2020",10,67
27/09/2020,5,6,3,The Take,Movie,,"Sep 16, 2020",10,63
28/09/2020,1,2,1,Ratched,TV Show,Yes,"Sep 18, 2020",10,98
28/09/2020,5,4,3,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",10,79
03/10/2020,5,4,1,Enola Holmes,Movie,Yes,"Sep 23, 2020",10,84
10/10/2020,4,2,1,American Murder: The Family…,Movie,Yes,"Sep 30, 2020",10,95
12/10/2020,3,3,2,Emily in Paris,TV Show,Yes,"Oct 2, 2020",10,83
13/10/2020,4,6,3,Schittâs Creek,TV Show,,"Jan 24, 2017",10,68
14/10/2020,6,8,4,Evil,TV Show,,"Oct 1, 2020",10,42
17/10/2020,2,2,1,Hubie Halloween,Movie,Yes,"Oct 7, 2020",10,93
19/10/2020,1,1,1,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",10,99
30/10/2020,7,7,5,Grand Army,TV Show,Yes,"Oct 16, 2020",10,34
02/11/2020,2,2,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",10,86
02/11/2020,6,7,2,Over the Moon,Movie,Yes,"Oct 23, 2020",10,69
02/11/2020,8,10,3,Barbarians,TV Show,Yes,"Oct 23, 2020",10,59
07/11/2020,9,5,1,Holidate,Movie,Yes,"Oct 28, 2020",10,83
08/11/2020,6,6,-,The Great British Baking Show,TV Show,,"Oct 3, 2015",10,38
13/11/2020,8,5,3,Mile 22,Movie,,"Nov 1, 2020",10,62
14/11/2020,5,5,7,Chappelle's Show,TV Show,,"Nov 1, 2020",10,56
15/11/2020,4,4,3,The Impossible,Movie,,"Nov 1, 2020",10,73
20/11/2020,9,8,9,Illumination Presents The G…,Movie,,"Jun 5, 2019",10,34
22/11/2020,7,7,-,The Boss Baby: Back in Busi…,TV Show,Yes,"Apr 6, 2018",10,39
25/11/2020,2,1,1,The Crown,TV Show,Yes,"Nov 4, 2016",10,99
26/11/2020,9,7,4,Cloudy with a Chance of Mea…,Movie,,"Nov 15, 2020",10,58
27/11/2020,8,7,3,Kevin Hart: Zero F**ks Given,Stand-Up Comedy,Yes,"Nov 17, 2020",10,73
05/12/2020,7,8,1,The Christmas Chronicles 2,Movie,Yes,"Nov 25, 2020",10,77
07/12/2020,3,3,1,Virgin River,TV Show,Yes,"Dec 6, 2019",10,93
09/12/2020,8,8,8,How the Grinch Stole Christmas,Movie,,"Jun 1, 2017",10,23
14/12/2020,6,7,2,Big Mouth,TV Show,Yes,"Sep 29, 2017",10,79
14/12/2020,7,6,1,Selena: The Series,TV Show,Yes,"Dec 4, 2020",10,85
17/12/2020,4,4,3,Ava,Movie,,"Dec 7, 2020",10,82
19/12/2020,6,3,2,Manhunt: Deadly Games,TV Show,,"Dec 7, 2020",10,77
25/12/2020,9,6,2,Tiny Pretty Things,TV Show,Yes,"Dec 14, 2020",10,68
26/12/2020,8,8,-,Jingle Jangle: A Christmas …,Movie,Yes,"Nov 13, 2020",10,40
02/01/2021,6,5,1,The Midnight Sky,Movie,Yes,"Dec 23, 2020",10,82
04/01/2021,2,2,1,Bridgerton,TV Show,Yes,"Dec 25, 2020",10,94
04/01/2021,6,5,3,We Can Be Heroes,Movie,Yes,"Dec 25, 2020",10,75
18/01/2021,5,4,3,Lupin,TV Show,Yes,"Jan 8, 2021",10,73
20/01/2021,6,5,4,L.A.'s Finest,TV Show,,"Jan 5, 2021",10,57
23/01/2021,4,2,1,Night Stalker: The Hunt for…,TV Show,Yes,"Jan 13, 2021",10,91
25/01/2021,7,9,6,Henry Danger,TV Show,,"Jan 15, 2021",10,48
30/01/2021,8,4,2,Homefront,Movie,,"Jan 18, 2021",10,68
30/01/2021,10,7,-,The Vanished,Movie,,"Jan 15, 2021",10,20
31/01/2021,10,9,-,Jenni Rivera: Mariposa de B…,TV Show,,"Jan 1, 2021",10,28
01/02/2021,6,6,1,Fate: The Winx Saga,TV Show,Yes,"Jan 22, 2021",10,89
06/02/2021,7,6,7,"Go, Dog, Go",TV Show,Yes,"Jan 26, 2021",10,42
13/02/2021,4,2,1,Firefly Lane,TV Show,Yes,"Feb 3, 2021",10,95
16/02/2021,6,6,2,The Sinner,TV Show,,"Jul 2, 2018",10,68
18/02/2021,3,2,3,iCarly,TV Show,,"Feb 8, 2021",10,81
20/02/2021,5,4,2,Crime Scene: The Vanishing …,TV Show,Yes,"Feb 10, 2021",10,91
26/02/2021,5,3,2,Good Girls,TV Show,,"Jan 1, 2019",10,81
27/02/2021,4,3,2,Behind Her Eyes,TV Show,Yes,"Feb 17, 2021",10,84
01/03/2021,3,3,1,I Care a Lot.,Movie,Yes,"Feb 19, 2021",10,93
06/03/2021,1,1,1,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",10,96
08/03/2021,8,5,2,Bigfoot Family,Movie,Yes,"Feb 26, 2021",10,75
13/03/2021,9,9,2,Murder Among the Mormons,TV Show,Yes,"Mar 3, 2021",10,72
23/03/2021,4,3,1,Yes Day,Movie,Yes,"Mar 12, 2021",10,95
23/03/2021,9,8,3,The One,TV Show,Yes,"Mar 12, 2021",10,58
27/03/2021,8,5,5,Operation Varsity Blues,Movie,Yes,"Mar 17, 2021",10,63
28/03/2021,6,5,2,Deadly Illusions,Movie,Yes,"Mar 18, 2021",10,82
28/03/2021,8,-,3,Savages,Movie,,"Mar 16, 2021",10,60
05/04/2021,1,1,2,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",10,96
12/04/2021,10,8,2,Concrete Cowboy,Movie,Yes,"Apr 2, 2021",10,60
13/04/2021,4,5,5,The Serpent,TV Show,Yes,"Apr 2, 2021",10,63
19/04/2021,4,3,1,Thunder Force,Movie,Yes,"Apr 9, 2021",10,91
22/04/2021,7,8,9,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",10,29
24/04/2021,3,1,4,The Circle US,TV Show,Yes,"Jan 1, 2020",10,72
25/04/2021,4,4,5,The Baker and the Beauty,TV Show,,"Apr 13, 2021",10,78
03/05/2021,2,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",10,97
10/05/2021,2,2,1,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",10,95
11/05/2021,10,8,3,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",10,54
17/05/2021,3,3,1,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",10,93
19/05/2021,4,8,3,StartUp,TV Show,,"May 4, 2021",10,53
22/05/2021,5,3,2,The Upshaws,TV Show,Yes,"May 12, 2021",10,86
24/05/2021,3,3,1,The Woman in the Window,Movie,Yes,"May 14, 2021",10,92
31/05/2021,5,4,1,Army of the Dead,Movie,Yes,"May 21, 2021",10,89
04/06/2021,4,4,1,Home,Movie,,"May 25, 2021",10,82
07/06/2021,7,5,2,Dog Gone Trouble,Movie,Yes,"May 28, 2021",10,78
10/06/2021,5,4,3,Dirty John,TV Show,,"Nov 25, 2019",10,73
